date,bank,bse50,chinext50,cni2000,csi100,csi1000,csi2000,csi300,csi500,csi800,csi_a50,csi_a500,csi_all,dividend,growth,lowvol,sme100,sse180,sse50,ssecomp,star100,star50,sz100,szcomponent,value300
2020-04-15,8684.3,,0.738,,5226.8,6090.88,,4845.96,5939.82,5070.0,,,5268.48,6287.22,2.176,11444.34,3.452,11157.67,3921.57,1.27,,,4.935,0.843,6494.49
2020-04-16,8661.11,,0.749,,5224.02,6137.45,,4852.36,5994.18,5086.68,,,5290.5,6267.94,2.213,11427.93,3.469,11188.58,3926.92,1.275,,,4.938,0.848,6490.89
2020-04-17,8730.3,,0.756,,5281.35,6147.43,,4899.71,5995.86,5124.13,,,5318.11,6286.48,2.226,11477.35,3.489,11304.02,3984.82,1.285,,,4.977,0.852,6555.45
2020-04-20,8702.54,,0.765,,5300.91,6248.03,,4917.54,6067.25,5153.41,,,5361.83,6322.88,2.256,11520.99,3.518,11346.37,4000.02,1.292,,,4.999,0.86,6553.49
2020-04-21,8669.33,,0.758,,5234.98,6215.34,,4859.59,6024.52,5098.86,,,5314.14,6284.59,2.233,11433.34,3.483,11214.02,3950.0,1.279,,,4.944,0.852,6489.54
2020-04-22,8662.82,,0.761,,5278.05,6273.75,,4899.58,6073.84,5140.76,,,5360.7,6312.96,2.253,11439.24,3.519,11283.5,3977.95,1.29,,,5.005,0.859,6501.51
2020-04-23,8632.27,,0.758,,5270.89,6233.82,,4887.29,6040.2,5123.92,,,5339.71,6293.37,2.235,11412.75,3.487,11249.02,3968.62,1.285,,,5.0,0.857,6483.13
2020-04-24,8604.38,,0.75,,5236.93,6111.29,,4845.7,5945.76,5071.07,,,5269.99,6255.34,2.211,11346.24,3.444,11156.34,3937.93,1.273,,,4.96,0.846,6437.26
2020-04-27,8762.57,,0.758,,5276.31,6079.23,,4878.75,5936.94,5095.06,,,5277.31,6292.01,2.221,11433.76,3.47,11232.65,3979.35,1.278,,,4.999,0.848,6496.13
2020-04-28,8782.88,,0.764,,5322.75,5988.38,,4912.41,5894.24,5112.26,,,5263.57,6253.92,2.235,11436.28,3.5,11298.37,4007.6,1.275,,,5.053,0.852,6514.31
2020-04-29,8992.02,,0.764,,5358.38,5974.15,,4935.43,5894.05,5130.25,,,5271.63,6315.14,2.236,11647.79,3.51,11354.81,4035.51,1.28,,,5.048,0.856,6619.99
2020-04-30,9015.24,,0.782,,5394.02,6116.34,,4994.07,6037.51,5206.96,,,5361.73,6378.12,2.283,11742.7,3.602,11470.38,4059.76,1.301,,,5.13,0.87,6669.38
2020-05-06,8919.44,,0.796,,5403.32,6250.41,,5024.29,6147.41,5254.22,,,5427.54,6384.47,2.324,11707.92,3.64,11515.84,4062.51,1.306,,,5.184,0.885,6634.39
2020-05-07,8870.99,,0.793,,5385.21,6243.4,,5010.15,6141.13,5241.8,,,5416.14,6394.27,2.32,11729.91,3.624,11480.11,4049.14,1.303,,,5.168,0.884,6600.36
2020-05-08,8957.91,,0.799,,5445.12,6315.71,,5065.03,6211.07,5299.78,,,5475.76,6444.68,2.339,11804.47,3.665,11591.39,4085.8,1.316,,,5.235,0.894,6677.92
2020-05-11,8953.99,,0.788,,5443.85,6304.06,,5060.75,6198.48,5293.73,,,5467.88,6448.0,2.319,11830.95,3.629,11583.57,4084.14,1.315,,,5.216,0.888,6704.94
2020-05-12,8886.25,,0.797,,5443.0,6323.19,,5060.94,6216.92,5297.84,,,5474.07,6427.06,2.34,11757.9,3.648,11570.19,4080.94,1.313,,,5.235,0.894,6664.97
2020-05-13,8879.91,,0.803,,5448.99,6374.87,,5071.23,6245.16,5311.96,,,5495.83,6441.42,2.358,11793.2,3.669,11575.55,4078.26,1.314,,,5.265,0.904,6654.28
2020-05-14,8786.1,,0.798,,5387.92,6317.34,,5016.23,6189.86,5257.02,,,5441.73,6373.44,2.332,11643.1,3.631,11449.25,4031.07,1.305,,,5.213,0.894,6575.32
2020-05-15,8778.87,,0.802,,5360.9,6346.7,,5001.15,6214.99,5250.6,,,5445.5,6350.53,2.339,11599.72,3.623,11416.89,4011.44,1.303,,,5.198,0.889,6561.75
2020-05-18,8788.36,,0.794,,5386.51,6316.04,,5014.05,6183.61,5253.98,,,5440.42,6351.68,2.336,11638.77,3.596,11467.39,4036.31,1.311,,,5.205,0.888,6567.36
2020-05-19,8845.96,,0.805,,5424.8,6399.52,,5056.88,6261.57,5304.24,,,5497.66,6390.68,2.361,11673.33,3.653,11559.1,4069.73,1.321,,,5.258,0.897,6610.08
2020-05-20,8888.56,,0.796,,5411.54,6323.77,,5030.97,6196.98,5270.09,,,5457.46,6342.92,2.338,11611.0,3.623,11516.67,4063.29,1.316,,,5.227,0.888,6598.19
2020-05-21,8862.85,,0.792,,5389.75,6244.47,,5003.65,6126.43,5233.56,,,5412.09,6308.23,2.314,11588.34,3.577,11466.55,4050.04,1.31,,,5.193,0.88,6555.45
2020-05-22,8704.58,,0.771,,5259.39,6130.21,,4889.59,6016.64,5120.66,,,5301.33,6203.94,2.259,11373.47,3.518,11203.94,3949.01,1.29,,,5.066,0.86,6423.29
2020-05-25,8703.27,,0.775,,5277.4,6117.79,,4896.69,6003.58,5123.42,,,5303.48,6235.5,2.263,11418.6,3.499,11236.96,3969.3,1.287,,,5.071,0.858,6433.28
2020-05-26,8725.12,,0.798,,5326.77,6266.06,,4952.88,6121.57,5192.75,,,5391.1,6283.95,2.335,11447.66,3.573,11334.42,3996.52,1.298,,,5.165,0.875,6477.84
